program,warnings,unused,unreachable,conversion,cluster
test_537.c,1,4,0,0,1
test_165.c,1,0,0,2,2
test_55.c,0,0,0,0,0
test_98.c,0,0,0,0,0
test_897.c,0,0,0,0,0
test_899.c,1,0,0,2,2
test_182.c,1,4,0,0,1
test_763.c,1,0,0,2,2
test_688.c,1,4,0,0,1
test_961.c,1,2,0,0,3
test_232.c,1,0,0,2,2
test_194.c,1,4,0,0,1
test_658.c,1,0,0,2,2
test_761.c,1,0,0,2,2
test_430.c,1,2,0,0,3
test_181.c,0,0,0,0,0
test_705.c,1,0,0,2,2
test_270.c,0,0,0,0,0
test_687.c,1,2,0,0,3
test_304.c,0,0,0,0,0
test_435.c,1,0,0,2,2
test_584.c,1,4,0,0,1
test_635.c,0,0,0,0,0
test_138.c,1,4,0,0,1
test_678.c,0,0,0,0,0
test_334.c,1,4,0,0,1
test_394.c,1,4,0,0,1
test_845.c,1,0,0,2,2
test_387.c,0,0,0,0,0
test_898.c,1,0,0,2,2
test_825.c,1,0,0,2,2
test_115.c,1,4,0,0,1
test_397.c,0,0,0,0,0
test_986.c,0,0,0,0,0
test_120.c,1,0,0,2,2
test_416.c,0,0,0,0,0
test_993.c,1,4,0,0,1
test_821.c,0,0,0,0,0
test_998.c,1,0,0,2,2
test_973.c,1,0,0,2,2
test_49.c,0,0,0,0,0
test_814.c,1,0,0,2,2
test_151.c,1,4,0,0,1
test_202.c,1,0,0,2,2
test_578.c,1,0,0,2,2
test_221.c,0,0,0,0,0
test_102.c,0,0,0,0,0
test_384.c,1,0,0,2,2
test_455.c,0,0,0,0,0
test_907.c,1,2,0,0,3
test_733.c,1,4,0,0,1
test_882.c,1,0,0,2,2
test_152.c,1,4,0,0,1
test_279.c,1,4,0,0,1
test_240.c,1,4,0,0,1
test_37.c,1,2,0,0,3
test_495.c,0,0,0,0,0
test_61.c,1,0,0,2,2
test_511.c,0,0,0,0,0
test_528.c,0,0,0,0,0
test_793.c,1,0,0,2,2
test_833.c,1,4,0,0,1
test_570.c,1,4,0,0,1
test_742.c,1,4,0,0,1
test_803.c,1,0,0,2,2
test_544.c,1,2,0,0,3
test_627.c,1,4,0,0,1
