program,warnings,unused,unreachable,conversion,cluster
test_550.c,1,2,0,0,3
test_393.c,0,0,0,0,0
test_187.c,1,4,0,0,1
test_466.c,0,0,0,0,0
test_211.c,0,0,0,0,0
test_424.c,1,0,0,2,2
test_974.c,0,0,0,0,0
test_360.c,0,0,0,0,0
test_546.c,1,2,0,0,3
test_342.c,1,2,0,0,3
test_887.c,1,0,0,2,2
test_265.c,1,2,0,0,3
test_866.c,1,0,0,2,2
test_283.c,1,4,0,0,1
test_829.c,1,4,0,0,1
test_373.c,0,0,0,0,0
test_857.c,0,0,0,0,0
test_611.c,1,4,0,0,1
test_599.c,1,0,0,2,2
test_783.c,0,0,0,0,0
test_504.c,1,2,0,0,3
test_94.c,0,0,0,0,0
test_844.c,1,0,0,2,2
test_714.c,0,0,0,0,0
test_72.c,1,2,0,0,3
test_9.c,0,0,0,0,0
test_282.c,0,0,0,0,0
test_24.c,1,0,0,2,2
test_340.c,0,0,0,0,0
test_997.c,1,0,0,2,2
test_80.c,1,0,0,2,2
test_161.c,1,0,0,2,2
test_545.c,1,4,0,0,1
test_371.c,0,0,0,0,0
test_848.c,0,0,0,0,0
test_177.c,0,0,0,0,0
test_253.c,1,2,0,0,3
test_758.c,0,0,0,0,0
test_192.c,0,0,0,0,0
test_747.c,1,0,0,2,2
test_662.c,1,0,0,2,2
test_507.c,1,4,0,0,1
test_308.c,0,0,0,0,0
test_497.c,1,2,0,0,3
test_943.c,1,2,0,0,3
test_267.c,0,0,0,0,0
test_431.c,0,0,0,0,0
test_6.c,1,2,0,0,3
test_625.c,0,0,0,0,0
test_189.c,1,0,0,2,2
test_861.c,1,0,0,2,2
test_796.c,1,0,0,2,2
test_260.c,0,0,0,0,0
test_291.c,1,0,0,2,2
test_516.c,0,0,0,0,0
test_401.c,1,4,0,0,1
test_400.c,0,0,0,0,0
test_89.c,1,0,0,2,2
test_715.c,0,0,0,0,0
test_577.c,1,0,0,2,2
test_853.c,1,4,0,0,1
test_572.c,1,4,0,0,1
test_976.c,0,0,0,0,0
test_606.c,0,0,0,0,0
test_925.c,1,4,0,0,1
test_381.c,0,0,0,0,0
test_754.c,1,0,0,2,2
test_736.c,1,0,0,2,2
test_893.c,1,2,0,0,3
test_684.c,1,2,0,0,3
test_484.c,1,2,0,0,3
test_100.c,0,0,0,0,0
test_931.c,1,2,0,0,3
test_726.c,0,0,0,0,0
test_367.c,1,0,0,2,2
test_59.c,1,0,0,2,2
test_639.c,0,0,0,0,0
test_538.c,0,0,0,0,0
test_731.c,0,0,0,0,0
test_130.c,1,0,0,2,2
test_208.c,1,0,0,2,2
test_675.c,1,0,0,2,2
test_235.c,1,2,0,0,3
test_669.c,1,2,0,0,3
test_671.c,0,0,0,0,0
test_45.c,1,0,0,2,2
test_404.c,0,0,0,0,0
test_994.c,0,0,0,0,0
test_297.c,0,0,0,0,0
test_945.c,0,0,0,0,0
test_698.c,0,0,0,0,0
test_745.c,1,0,0,2,2
test_215.c,1,0,0,2,2
test_710.c,1,2,0,0,3
test_975.c,1,2,0,0,3
test_247.c,0,0,0,0,0
test_830.c,1,2,0,0,3
test_414.c,1,2,0,0,3
test_31.c,1,4,0,0,1
test_505.c,0,0,0,0,0
test_685.c,0,0,0,0,0
test_999.c,0,0,0,0,0
test_409.c,1,0,0,2,2
test_785.c,1,0,0,2,2
test_757.c,1,0,0,2,2
test_631.c,0,0,0,0,0
test_472.c,0,0,0,0,0
test_944.c,1,4,0,0,1
test_752.c,1,0,0,2,2
test_655.c,0,0,0,0,0
test_808.c,1,2,0,0,3
test_494.c,0,0,0,0,0
test_953.c,0,0,0,0,0
test_672.c,0,0,0,0,0
test_23.c,1,2,0,0,3
test_641.c,1,2,0,0,3
test_447.c,1,4,0,0,1
test_890.c,0,0,0,0,0
test_540.c,0,0,0,0,0
test_242.c,1,0,0,2,2
test_479.c,1,4,0,0,1
test_324.c,0,0,0,0,0
test_317.c,1,2,0,0,3
test_196.c,0,0,0,0,0
test_78.c,1,4,0,0,1
test_648.c,1,4,0,0,1
test_653.c,1,0,0,2,2
test_612.c,0,0,0,0,0
test_301.c,0,0,0,0,0
test_245.c,0,0,0,0,0
test_69.c,1,2,0,0,3
test_749.c,0,0,0,0,0
